y_true,y_score
1,0.264396
0,0.000081
0,0.185986
0,0.000435
0,0.000132
0,0.031113
0,0.001356
0,0.031189
0,0.008297
0,0.023117
0,0.915271
0,0.000183
0,0.011289
0,0.000023
0,0.007938
0,0.015813
0,0.001322
0,0.001908
0,0.116453
0,0.035331
0,0.920977
0,0.002568
0,0.019019
0,0.529911
0,0.022489
0,0.014472
0,0.000595
0,0.918859
0,0.077010
0,0.000177
0,0.114632
0,0.081605
0,0.501632
0,0.000002
0,0.000005
0,0.000353
0,0.004415
0,0.000004
0,0.000385
0,0.000925
0,0.542297
0,0.000208
0,0.025556
0,0.051843
0,0.017652
0,0.013600
0,0.003714
0,0.170981
0,0.000703
0,0.002736
0,0.986845
0,0.042242
0,0.121408
0,0.034778
0,0.059391
1,0.993494
0,0.785150
0,0.000075
0,0.100508
0,0.020172
0,0.000713
0,0.784681
0,0.267313
0,0.021621
0,0.090025
0,0.001917
0,0.029788
0,0.017971
0,0.000008
0,0.000763
0,0.065741
0,0.022426
0,0.019384
0,0.000226
0,0.007350
0,0.040245
0,0.000011
0,0.012663
0,0.088316
0,0.003210
0,0.486593
0,0.881314
0,0.990992
0,0.057503
0,0.000360
0,0.066027
0,0.000033
0,0.034571
0,0.782778
0,0.078966
0,0.159942
0,0.000280
0,0.006021
0,0.078001
0,0.003901
0,0.025122
0,0.000001
0,0.176106
0,0.003347
0,0.000007
0,0.000128
0,0.004961
0,0.067873
0,0.005223
0,0.000911
0,0.036285
0,0.000039
0,0.000270
0,0.000003
0,0.001271
0,0.000065
0,0.000020
0,0.011292
0,0.001158
0,0.021754
0,0.024876
0,0.030425
0,0.000015
0,0.057086
0,0.008557
0,0.558033
0,0.002201
0,0.001890
0,0.001737
0,0.000018
0,0.000100
0,0.029168
0,0.021208
0,0.570558
0,0.002093
0,0.000371
0,0.000460
0,0.062235
0,0.002945
0,0.005891
0,0.000015
0,0.634107
0,0.000138
0,0.203231
0,0.013313
0,0.078414
0,0.017725
0,0.037289
0,0.000055
0,0.020825
0,0.001404
0,0.012330
0,0.182507
0,0.000001
0,0.064754
0,0.999958
0,0.009131
0,0.000836
0,0.092597
0,0.537989
0,0.346849
0,0.001491
0,0.004240
0,0.119216
0,0.014485
0,0.531729
0,0.014539
0,0.149225
0,0.001040
0,0.020788
0,0.000035
0,0.023414
0,0.000003
0,0.006424
0,0.533260
0,0.044197
0,0.013170
0,0.078325
0,0.402513
0,0.035744
0,0.000204
0,0.365173
0,0.001282
0,0.062912
0,0.327096
0,0.000001
0,0.200594
0,0.988892
0,0.001066
0,0.006452
0,0.000035
0,0.009014
0,0.297877
0,0.000039
0,0.000007
0,0.000238
0,0.000031
0,0.000023
0,0.015408
0,0.021244
0,0.000132
0,0.001448
0,0.026659
0,0.000300
0,0.000001
0,0.003399
0,0.013871
0,0.029606
0,0.007813
0,0.000082
0,0.000065
0,0.146318
0,0.000022
0,0.006979
0,0.000509
0,0.004469
0,0.000009
0,0.471753
0,0.234068
0,0.216198
0,0.612166
0,0.048624
0,0.000023
0,0.091221
0,0.300768
0,0.000623
0,0.369179
0,0.000029
0,0.076076
0,0.654495
0,0.033556
0,0.000434
0,0.003086
0,0.000078
0,0.000139
0,0.004300
0,0.061061
0,0.000080
0,0.317106
0,0.091894
0,0.000001
0,0.003902
0,0.031185
0,0.010558
0,0.913831
0,0.002339
0,0.000259
0,0.000002
0,0.096263
0,0.000009
0,0.000757
0,0.067674
0,0.363733
0,0.997975
0,0.004228
0,0.000430
0,0.249331
0,0.000003
0,0.475617
0,0.000742
0,0.000087
0,0.000545
0,0.027174
0,0.027518
0,0.944031
0,0.000111
0,0.097883
1,0.999681
0,0.015619
0,0.006118
0,0.004559
0,0.004295
0,0.000372
0,0.003453
0,0.987444
0,0.000972
0,0.340100
0,0.004222
0,0.018579
0,0.116733
0,0.148432
0,0.917763
0,0.003427
0,0.000090
0,0.000200
0,0.023091
0,0.000048
0,0.003920
0,0.009140
0,0.000001
0,0.006566
0,0.054958
0,0.000198
0,0.000012
0,0.000155
0,0.146405
0,0.017508
0,0.059773
0,0.000324
0,0.000433
0,0.012208
0,0.000999
0,0.030633
0,0.230137
0,0.000001
0,0.329836
0,0.000803
0,0.037341
0,0.008214
0,0.000234
0,0.000064
0,0.008746
0,0.389737
0,0.484867
0,0.000177
0,0.020477
0,0.031085
0,0.000300
0,0.002463
0,0.980447
0,0.000009
0,0.041926
0,0.404748
0,0.000779
0,0.911098
0,0.003010
0,0.001240
0,0.881662
0,0.057805
0,0.002359
0,0.001102
0,0.006122
0,0.748760
0,0.023757
0,0.000119
0,0.016793
0,0.007308
0,0.003080
0,0.000005
0,0.100028
0,0.005435
0,0.745682
0,0.010755
0,0.000049
0,0.002764
0,0.000168
0,0.214792
0,0.131539
0,0.000006
0,0.998248
0,0.372421
0,0.020115
0,0.000218
0,0.004336
0,0.024630
0,0.568620
0,0.021294
0,0.804576
0,0.215041
0,0.150775
0,0.019319
0,0.023153
0,0.000195
0,0.004723
0,0.000742
0,0.675517
0,0.008151
0,0.000716
0,0.054715
0,0.000005
0,0.000499
0,0.000001
0,0.621520
0,0.000819
0,0.000270
0,0.000915
0,0.001436
0,0.010741
0,0.112084
0,0.135925
0,0.000003
0,0.000400
0,0.004901
0,0.975601
0,0.000664
0,0.008424
0,0.070903
0,0.000005
0,0.002891
0,0.005989
0,0.166251
0,0.000914
0,0.000042
0,0.000074
0,0.291704
0,0.443180
0,0.000099
0,0.000166
0,0.000820
0,0.002032
0,0.027974
0,0.998866
0,0.000006
0,0.068463
0,0.015750
0,0.996235
0,0.010355
0,0.007456
0,0.002209
0,0.000089
0,0.000007
0,0.989173
0,0.017899
0,0.000021
0,0.000121
0,0.000001
0,0.000003
0,0.000326
0,0.005541
0,0.196086
0,0.124910
0,0.008409
0,0.052967
0,0.000158
0,0.608299
0,0.076546
0,0.000600
0,0.005855
0,0.602616
0,0.000116
0,0.000027
0,0.002222
0,0.031996
0,0.000090
0,0.005666
0,0.007719
0,0.074163
0,0.001200
0,0.002622
0,0.075710
0,0.003344
0,0.001904
0,0.000024
0,0.080286
0,0.000418
0,0.386986
0,0.027361
0,0.200144
0,0.005788
0,0.000025
0,0.000204
0,0.000039
0,0.000219
0,0.010623
0,0.015359
0,0.323749
0,0.000450
0,0.002804
0,0.000065
0,0.014641
0,0.002354
0,0.258718
0,0.014769
0,0.000921
0,0.013598
0,0.017113
0,0.635029
0,0.007802
0,0.000287
0,0.000241
0,0.000001
0,0.000923
0,0.000002
0,0.000455
0,0.056372
0,0.402530
0,0.006839
0,0.007845
0,0.000042
0,0.000006
0,0.000846
0,0.003397
0,0.037562
0,0.000078
0,0.054974
0,0.000190
0,0.000467
0,0.006531
0,0.109076
0,0.000726
0,0.859175
0,0.562816
0,0.004632
0,0.000489
0,0.145744
0,0.348089
0,0.003892
0,0.009103
0,0.876434
0,0.199362
0,0.971034
0,0.000660
0,0.000046
0,0.000601
0,0.045903
0,0.053162
0,0.006578
0,0.000040
1,0.161091
0,0.007446
0,0.241712
0,0.057707
0,0.000297
0,0.000060
0,0.044110
0,0.076028
0,0.000056
0,0.014648
0,0.006111
0,0.554230
0,0.767481
0,0.980115
0,0.053509
0,0.134016
0,0.254777
0,0.000152
0,0.017635
0,0.271953
0,0.338072
0,0.022042
0,0.012457
0,0.894919
0,0.320623
0,0.000025
0,0.588939
0,0.000830
0,0.000381
0,0.000464
0,0.399627
0,0.687590
0,0.015672
0,0.027890
0,0.000209
0,0.000303
0,0.321078
0,0.000023
0,0.037235
0,0.014258
0,0.000569
0,0.968703
0,0.000151
0,0.918478
0,0.017229
0,0.028782
0,0.000404
0,0.049748
0,0.987008
0,0.000064
0,0.119889
0,0.000806
0,0.568270
0,0.836296
0,0.183155
0,0.029351
0,0.967848
0,0.065202
0,0.365730
0,0.867906
0,0.105489
0,0.998729
0,0.141140
0,0.061741
0,0.061830
0,0.011180
0,0.168019
0,0.003031
0,0.001121
0,0.067230
0,0.000018
0,0.321737
0,0.842781
0,0.000102
0,0.000087
0,0.945287
0,0.002376
0,0.000493
0,0.281446
0,0.001316
0,0.002659
0,0.086459
0,0.002243
0,0.008466
0,0.084972
0,0.811410
0,0.000539
0,0.000946
0,0.364833
0,0.038406
0,0.000021
0,0.030177
0,0.113822
0,0.000989
0,0.033246
0,0.000001
0,0.946764
0,0.000073
0,0.180456
0,0.070169
0,0.000090
0,0.001068
0,0.000002
0,0.000389
0,0.018730
0,0.001191
0,0.098914
0,0.192926
0,0.000004
0,0.000105
0,0.000002
0,0.000040
0,0.018926
0,0.007476
0,0.242452
0,0.000238
0,0.002380
0,0.000001
0,0.983516
0,0.003391
0,0.121978
0,0.002679
0,0.035219
0,0.000733
0,0.007342
0,0.009955
0,0.002356
0,0.971891
0,0.256818
0,0.003082
0,0.006424
0,0.056765
0,0.211144
0,0.275897
0,0.019872
0,0.287786
0,0.000004
0,0.062979
0,0.000749
0,0.016723
0,0.836821
0,0.001938
0,0.000008
0,0.015319
0,0.786057
0,0.176914
0,0.088783
0,0.306780
0,0.004996
0,0.000034
0,0.000506
0,0.889365
0,0.003327
